Order,Issue ID,Issue Link,PR,PR_Number,Version,Review?,Release Critical
99,20219,Regression: undocumented change of behaviour in mpl 3.4.2 with axis ticks direction · Issue #20219 · matplotlib/matplotlib (github.com),Fix resetting grid visibility by timhoffm · Pull Request #20161 · matplotlib/matplotlib (github.com),20161,,,
100,20127,Zooming on a contour plot with clipping results in bad clipping · Issue #20127 · matplotlib/matplotlib (github.com),Zooming on a contour plot with clipping results in bad clipping · Issue #20127 · matplotlib/matplotlib (github.com),15970,,,
101,19928,matplotlib dev: What happened to figure.dpi ? · Issue #19928 · matplotlib/matplotlib (github.com),,,,,
102,19785,Starting point of annotation arrows has changed in 3.4.0 · Issue #19785 · matplotlib/matplotlib (github.com),Text cleanups. by anntzer · Pull Request #18586 · matplotlib/matplotlib (github.com),18586,,,
103,19598,Axes order changed in 3.4.0rc1 · Issue #19598 · matplotlib/matplotlib (github.com),MNT: Remove deprecated axes kwargs collision detection (version 2) by lpsinger · Pull Request #19153 · matplotlib/matplotlib (github.com),19153,,,
104,19578,bisect very hard with rcParam changes · Issue #19578 · matplotlib/matplotlib (github.com),MNT: let bad rcParam keys pass by jklymak · Pull Request #19588 · matplotlib/matplotlib (github.com),15029,,,
105,19560,segfault due to font objects when multi-threading · Issue #19560 · matplotlib/matplotlib (github.com),https://github.com/matplotlib/matplotlib/pull/15104,15104,,,
106,19129,webAgg example broken - maybe mpl.js broken? · Issue #19129 · matplotlib/matplotlib (github.com),nbagg: Store DPI ratio on figure instead of window. by QuLogic · Pull Request #18361 · matplotlib/matplotlib (github.com),18361,js,,
107,19066,"plt.scatter, error with NaN values and edge color · Issue #19066 · matplotlib/matplotlib (github.com)","plt.scatter, error with NaN values and edge color · Issue #19066 · matplotlib/matplotlib (github.com)",12422,,,
108,18837,Animation stops working after upgrade to matplotlib 3.3.2 · Issue #18837 · matplotlib/matplotlib (github.com),Make animation blit cache robust against 3d viewpoint changes. by anntzer · Pull Request #16070 · matplotlib/matplotlib (github.com),16070,,,
109,18743,from mpl 3.2.2 to 3.3.0 enormous increase in creation time · Issue #18743 · matplotlib/matplotlib (github.com),ENH: add variable epoch by jklymak · Pull Request #15008 · matplotlib/matplotlib (github.com),15008,,,
110,18385,twinx not respecting log-scale · Issue #18385 · matplotlib/matplotlib (github.com),Allow sharex/y after axes creation. by anntzer · Pull Request #15287 · matplotlib/matplotlib (github.com),15287,,,
111,18371,Plotting a pandas DataFrame with string MultiIndex · Issue #18371 · matplotlib/matplotlib (github.com),https://github.com/matplotlib/matplotlib/pull/17289,17289,,,
112,18282,Bad interaction between kerning and non-latin1 characters in pdf output · Issue #18282 · matplotlib/matplotlib (github.com),https://github.com/matplotlib/matplotlib/pull/14940,14940,,,
113,18254,"scatter(..., marker='') raises on drawing with mpl3.3.1 · Issue #18254 · matplotlib/matplotlib (github.com)",Avoid using Bbox machinery in Path.get_extents; special case polylines. by anntzer · Pull Request #17995 · matplotlib/matplotlib (github.com),17995,,,
114,18234,"_reshape_2D function behavior changed, breaks hist for some cases in 3.3.0 · Issue #18234 · matplotlib/matplotlib (github.com)",FIX: Keep lists of lists of one scalar each 2D in _reshape_2D by alexhenrie · Pull Request #17821 · matplotlib/matplotlib (github.com),17821,,,
115,17820,Regression: _reshape_2D no longer preserves the shape of lists of lists of one scalar each · Issue #17820 · matplotlib/matplotlib (github.com),Prepare for ragged array warnings in NumPy 1.19 by QuLogic · Pull Request #17289 · matplotlib/matplotlib (github.com),17289,,,
116,18061,3.3.0 regression in png backend with colorbar() · Issue #18061 · matplotlib/matplotlib (github.com),Convert adjust_bbox to use ExitStack. by QuLogic · Pull Request #17607 · matplotlib/matplotlib (github.com),17607,,,
117,18037,Scatter3D: depthshade=False causes IndexError for Tkinter when plotting more than one point. · Issue #18037 · matplotlib/matplotlib (github.com),Fix marker overlap by timhoffm · Pull Request #17378 · matplotlib/matplotlib (github.com),17378,,,
118,18033,v. 3.3.0: horizontal colorbar broken · Issue #18033 · matplotlib/matplotlib (github.com),Fix mplot3d projection by eric-wieser · Pull Request #16472 · matplotlib/matplotlib (github.com),16742,,,
119,17974,"Major speed regression introduced in ""plt.bar"" definition clipping between 3.0.3 and 3.3.0. · Issue #17974 · matplotlib/matplotlib (github.com)",Correctly compute path extents by brunobeltran · Pull Request #16832 · matplotlib/matplotlib (github.com),16832,,,
120,17867,datetime plotting broken on master · Issue #17867 · matplotlib/matplotlib (github.com),ENH: add rcParam for ConciseDate and interval_multiples by jklymak · Pull Request #17022 · matplotlib/matplotlib (github.com),17022,,,
121,17820,Regression: _reshape_2D no longer preserves the shape of lists of lists of one scalar each · Issue #17820 · matplotlib/matplotlib (github.com),Prepare for ragged array warnings in NumPy 1.19 by QuLogic · Pull Request #17289 · matplotlib/matplotlib (github.com),17289,,,
122,17765,PGF xelatex can't find fonts in special-character paths · Issue #17765 · matplotlib/matplotlib (github.com),Add a backend kwarg to savefig. by anntzer · Pull Request #15536 · matplotlib/matplotlib (github.com),15536,,,
123,17633,Stackplot fails for small numbers · Issue #17633 · matplotlib/matplotlib (github.com),Stackplot fails for small numbers · Issue #17633 · matplotlib/matplotlib (github.com),13980,,,
124,17502,dict unpacking broken for `.plot` in 3.2 · Issue #17502 · matplotlib/matplotlib (github.com),dict unpacking broken for `.plot` in 3.2 · Issue #17502 · matplotlib/matplotlib (github.com),17502,,,
125,17253,EPS + usetex is broken · Issue #17253 · matplotlib/matplotlib (github.com),https://github.com/matplotlib/matplotlib/pull/14833,14833,,,
126,17203,Subplots using bad axis limits in 3.2 · Issue #17203 · matplotlib/matplotlib (github.com),https://github.com/matplotlib/matplotlib/pull/13642,13462,,,
127,17033,Using a `TextBox` in current master produces a seemingly unrelated warning. · Issue #17033 · matplotlib/matplotlib (github.com),https://github.com/matplotlib/matplotlib/pull/16529,16529,,,
128,16910,Axes.imshow draws invalid color at value is 0 when max of 'X' not equal to vmax · Issue #16910 · matplotlib/matplotlib (github.com),FIX: Image scaling for large dynamic range ints by jklymak · Pull Request #10133 · matplotlib/matplotlib (github.com),10133,tangentially related - complicated,,
129,16910,Axes.imshow draws invalid color at value is 0 when max of 'X' not equal to vmax · Issue #16910 · matplotlib/matplotlib (github.com),Fix image interpolation by tacaswell · Pull Request #8966 · matplotlib/matplotlib (github.com),8966,tangentially related - complicated,,
130,16538,xpdf distiller seems broken · Issue #16538 · matplotlib/matplotlib (github.com),https://github.com/matplotlib/matplotlib/pull/10295,10295,,,
131,16538,xpdf distiller seems broken · Issue #16538 · matplotlib/matplotlib (github.com),https://github.com/matplotlib/matplotlib/pull/10294,10294,,,
132,16405,twinx plot with datetime in xaxis fails in 3.1.3 · Issue #16405 · matplotlib/matplotlib (github.com),https://github.com/matplotlib/matplotlib/pull/16382,16392,,,
133,16294,BUG: Interactive mode slow · Issue #16294 · matplotlib/matplotlib (github.com),https://github.com/matplotlib/matplotlib/pull/16028,16028,interaction of 2 prs,,
134,16294,BUG: Interactive mode slow · Issue #16294 · matplotlib/matplotlib (github.com),https://github.com/matplotlib/matplotlib/pull/10210,10210,interaction of 2 prs,,
135,16280,SymLogNorm colorbar incorrect on master · Issue #16280 · matplotlib/matplotlib (github.com),Change colorbar for contour to have the proper axes limits... by jklymak · Pull Request #13506 · matplotlib/matplotlib (github.com),13506,,,
136,15842,Path.intersects_path returns True when it shouldn't · Issue #15842 · matplotlib/matplotlib (github.com),Backport PR #11553 on branch v3.1.x (Improved Code for Segments Intersect) by meeseeksmachine · Pull Request #13571 · matplotlib/matplotlib (github.com),11553,,,
137,15481,Recursion error · Issue #15481 · matplotlib/matplotlib (github.com),"qt{4,5}cairo backend: the minimal version. by anntzer · Pull Request #10210 · matplotlib/matplotlib (github.com)",10210,,,
138,15103,Colorbar for imshow messes interactive cursor with masked data · Issue #15103 · matplotlib/matplotlib (github.com),https://github.com/matplotlib/matplotlib/pull/12459,12459,,,
139,14339,Transparency always on for PNG in version 3.1.0 · Issue #14339 · matplotlib/matplotlib (github.com),Deprecate frameon kwarg and rcParam to savefig. by anntzer · Pull Request #11692 · matplotlib/matplotlib (github.com),11692,,,
140,14339,Transparency always on for PNG in version 3.1.0 · Issue #14339 · matplotlib/matplotlib (github.com),Backport PR #11692 on branch v3.1.x (Deprecate frameon kwarg and rcParam to savefig.) by meeseeksmachine · Pull Request #13655 · matplotlib/matplotlib (github.com),13655,,,
141,14180,ImageComparisonFailure: Image sizes do not match expected size · Issue #14180 · matplotlib/matplotlib (github.com),https://github.com/matplotlib/matplotlib/pull/14134,14134,,,
142,14146,Saving polar plots with MiKTeX on Windows fails for some file formats · Issue #14146 · matplotlib/matplotlib (github.com),Deprecate text.latex.unicode. by anntzer · Pull Request #11381 · matplotlib/matplotlib (github.com),11381,,,
143,13112,LogNorm colorbar prints double tick labels after set_ticks() · Issue #13112 · matplotlib/matplotlib (github.com),https://github.com/matplotlib/matplotlib/pull/12865,12865,,,
144,12971,Pandas Series not supported as data kwarg · Issue #12971 · matplotlib/matplotlib (github.com),https://github.com/matplotlib/matplotlib/pull/10872,10872,,,
145,12820,[Annotations] ValueError: lines do not intersect when computing tight bounding box containing arrow with filled paths · Issue #12820 · matplotlib/matplotlib (github.com),update annotations by fredrik-1 · Pull Request #11801 · matplotlib/matplotlib (github.com),11801,,,
